"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",211673,13024,14973,14532,13383,12764,11914,14241,20406,19022,16725,14402,12607,10707,8113,4851,4135,2858,1932,856,192,36,42529,146171,22973
"新竹市","東區","男",104157,6692,7931,7566,6944,6590,6117,6832,9496,9119,8167,7163,6289,5123,3711,2128,1676,1154,925,429,85,20,22189,71840,10128
"新竹市","東區","女",107516,6332,7042,6966,6439,6174,5797,7409,10910,9903,8558,7239,6318,5584,4402,2723,2459,1704,1007,427,107,16,20340,74331,12845
"新竹市","北區","計",150391,7902,7898,7207,8996,9856,9655,11232,14203,12599,11935,11055,10272,8884,6847,4039,3310,2152,1510,696,130,13,23007,108687,18697
"新竹市","北區","男",73543,4037,4123,3709,4666,5095,5012,5437,6765,6094,5783,5483,4933,4076,3178,1777,1344,863,724,372,66,6,11869,53344,8330
"新竹市","北區","女",76848,3865,3775,3498,4330,4761,4643,5795,7438,6505,6152,5572,5339,4808,3669,2262,1966,1289,786,324,64,7,11138,55343,10367
"新竹市","香山區","計",77683,4337,3178,3225,4815,5655,5686,6415,7945,6584,6023,5831,5373,4535,3051,1813,1453,925,553,225,51,10,10740,58862,8081
"新竹市","香山區","男",39475,2250,1653,1703,2545,2893,2910,3275,4108,3452,3083,2981,2667,2206,1466,849,660,403,262,90,16,3,5606,30120,3749
"新竹市","香山區","女",38208,2087,1525,1522,2270,2762,2776,3140,3837,3132,2940,2850,2706,2329,1585,964,793,522,291,135,35,7,5134,28742,4332
"新竹縣","竹北市","計",180033,13766,14875,12680,11093,10212,9330,12677,20053,19765,15369,11358,8705,6719,4945,2939,2634,1560,919,356,66,12,41321,125281,13431
"新竹縣","竹北市","男",89659,7135,7727,6658,5873,5260,4774,6021,9265,9607,7786,5694,4383,3227,2351,1374,1233,666,432,157,31,5,21520,61890,6249
"新竹縣","竹北市","女",90374,6631,7148,6022,5220,4952,4556,6656,10788,10158,7583,5664,4322,3492,2594,1565,1401,894,487,199,35,7,19801,63391,7182
"新竹縣","關西鎮","計",29094,853,980,1301,1824,2036,1851,1749,1917,1982,2235,2394,2215,1927,1457,1094,1339,1073,576,236,47,8,3134,20130,5830
"新竹縣","關西鎮","男",15574,440,520,654,991,1068,1013,927,995,1052,1267,1418,1280,1086,749,542,686,513,252,98,21,2,1614,11097,2863
"新竹縣","關西鎮","女",13520,413,460,647,833,968,838,822,922,930,968,976,935,841,708,552,653,560,324,138,26,6,1520,9033,2967
"新竹縣","新埔鎮","計",33588,1261,969,1186,1921,2445,2626,2359,2493,2212,2280,2613,2772,2430,1763,1171,1263,963,592,219,46,4,3416,24151,6021
"新竹縣","新埔鎮","男",17896,678,509,627,987,1324,1433,1303,1395,1184,1261,1403,1524,1287,946,596,611,439,281,94,13,1,1814,13101,2981
"新竹縣","新埔鎮","女",15692,583,460,559,934,1121,1193,1056,1098,1028,1019,1210,1248,1143,817,575,652,524,311,125,33,3,1602,11050,3040
"新竹縣","竹東鎮","計",97020,4290,4777,5258,6666,7350,6693,7031,8266,7680,7582,7134,6532,5287,3991,2512,2645,1862,997,362,94,11,14325,70221,12474
"新竹縣","竹東鎮","男",48716,2151,2460,2761,3566,3766,3481,3646,4042,3792,3793,3633,3291,2587,1886,1198,1210,802,455,159,31,6,7372,35597,5747
"新竹縣","竹東鎮","女",48304,2139,2317,2497,3100,3584,3212,3385,4224,3888,3789,3501,3241,2700,2105,1314,1435,1060,542,203,63,5,6953,34624,6727
"新竹縣","湖口鄉","計",77515,3504,3867,4038,5162,6074,5756,5763,6832,6017,5794,5988,5398,4270,2917,1966,1767,1169,844,320,58,11,11409,57054,9052
"新竹縣","湖口鄉","男",39273,1832,2042,2097,2694,3175,3045,2881,3408,3050,2857,3032,2715,2135,1396,871,778,575,491,166,29,4,5971,28992,4310
"新竹縣","湖口鄉","女",38242,1672,1825,1941,2468,2899,2711,2882,3424,2967,2937,2956,2683,2135,1521,1095,989,594,353,154,29,7,5438,28062,4742
"新竹縣","橫山鄉","計",13132,414,387,464,770,955,826,810,878,829,987,1055,1044,915,725,582,630,441,262,134,21,3,1265,9069,2798
"新竹縣","橫山鄉","男",7120,211,211,233,416,501,450,432,511,454,573,635,612,516,400,290,304,192,116,53,9,1,655,5100,1365
"新竹縣","橫山鄉","女",6012,203,176,231,354,454,376,378,367,375,414,420,432,399,325,292,326,249,146,81,12,2,610,3969,1433
