month,total,young,strong,old
2019/1/1,4761 ,638 ,3598 ,525 
2019/2/1,4727 ,624 ,3576 ,527 
2019/3/1,4717 ,620 ,3569 ,528 
2019/4/1,4710 ,620 ,3561 ,529 
2019/5/1,4670 ,610 ,3526 ,534 
2019/6/1,4649 ,605 ,3508 ,536 
2019/7/1,4629 ,603 ,3489 ,537 
2019/8/1,4612 ,610 ,3461 ,541 
2019/9/1,4608 ,599 ,3465 ,544 
2019/10/1,4602 ,605 ,3453 ,544 
2019/11/1,4600 ,605 ,3446 ,549 
2019/12/1,4593 ,597 ,3445 ,551 
2020/1/1,4572 ,589 ,3431 ,552 
2020/2/1,4552 ,586 ,3418 ,548 
2020/3/1,4552 ,584 ,3414 ,554 
2020/4/1,4536 ,578 ,3402 ,556 
2020/5/1,4503 ,559 ,3383 ,561 
2020/6/1,4493 ,563 ,3365 ,565 
2020/7/1,4483 ,559 ,3359 ,565 
2020/8/1,4476 ,560 ,3343 ,573 
2020/9/1,4483 ,572 ,3337 ,574 
2020/10/1,4488 ,580 ,3330 ,578 
2020/11/1,4489 ,584 ,3323 ,582 
2020/12/1,4487 ,584 ,3315 ,588 
2021/1/1,4489 ,590 ,3304 ,595 
2021/2/1,4476 ,587 ,3294 ,595 
2021/3/1,4461 ,580 ,3288 ,593 
2021/4/1,4451 ,566 ,3283 ,602 
2021/5/1,4455 ,567 ,3284 ,604 
2021/6/1,4448 ,561 ,3278 ,609 
2021/7/1,4431 ,560 ,3258 ,613 
2021/8/1,4439 ,565 ,3259 ,615 
2021/9/1,4453 ,572 ,3255 ,626 
2021/10/1,4453 ,572 ,3255 ,626 
