month,total,young,strong,old
2019/1/1,151714 ,23093 ,108488 ,20133 
2019/2/1,151749 ,23065 ,108431 ,20253 
2019/3/1,151828 ,23032 ,108443 ,20353 
2019/4/1,151845 ,22992 ,108434 ,20419 
2019/5/1,152015 ,23017 ,108529 ,20469 
2019/6/1,152018 ,22986 ,108531 ,20501 
2019/7/1,152025 ,22951 ,108531 ,20543 
2019/8/1,152123 ,22944 ,108553 ,20626 
2019/9/1,152163 ,22918 ,108543 ,20702 
2019/10/1,152180 ,22888 ,108475 ,20817 
2019/11/1,152271 ,22863 ,108473 ,20935 
2019/12/1,152351 ,22831 ,108447 ,21073 
2020/1/1,152400 ,22788 ,108432 ,21180 
2020/2/1,152388 ,22730 ,108397 ,21261 
2020/3/1,152431 ,22703 ,108353 ,21375 
2020/4/1,152481 ,22693 ,108331 ,21457 
2020/5/1,152540 ,22705 ,108295 ,21540 
2020/6/1,152612 ,22671 ,108320 ,21621 
2020/7/1,152540 ,22632 ,108243 ,21665 
2020/8/1,152586 ,22572 ,108259 ,21755 
2020/9/1,152601 ,22531 ,108244 ,21826 
2020/10/1,152597 ,22476 ,108189 ,21932 
2020/11/1,152644 ,22446 ,108156 ,22042 
2020/12/1,152612 ,22400 ,108079 ,22133 
2021/1/1,152540 ,22304 ,108018 ,22218 
2021/2/1,152556 ,22266 ,107979 ,22311 
2021/3/1,152553 ,22221 ,107955 ,22377 
2021/4/1,152502 ,22146 ,107895 ,22461 
2021/5/1,152434 ,22074 ,107848 ,22512 
2021/6/1,152432 ,22070 ,107815 ,22547 
2021/7/1,152490 ,22016 ,107870 ,22604 
2021/8/1,152619 ,22018 ,107880 ,22721 
2021/9/1,152604 ,21943 ,107855 ,22806 
2021/10/1,152490 ,21852 ,107777 ,22861 
