month,total,young,strong,old
2019/1/1,9301 ,854 ,6512 ,1935 
2019/2/1,9299 ,854 ,6503 ,1942 
2019/3/1,9285 ,846 ,6491 ,1948 
2019/4/1,9266 ,852 ,6467 ,1947 
2019/5/1,9234 ,839 ,6447 ,1948 
2019/6/1,9243 ,840 ,6456 ,1947 
2019/7/1,9227 ,826 ,6445 ,1956 
2019/8/1,9221 ,826 ,6432 ,1963 
2019/9/1,9204 ,818 ,6429 ,1957 
2019/10/1,9187 ,809 ,6423 ,1955 
2019/11/1,9172 ,805 ,6409 ,1958 
2019/12/1,9178 ,796 ,6415 ,1967 
2020/1/1,9172 ,790 ,6411 ,1971 
2020/2/1,9148 ,785 ,6391 ,1972 
2020/3/1,9121 ,780 ,6375 ,1966 
2020/4/1,9106 ,780 ,6353 ,1973 
2020/5/1,9090 ,777 ,6336 ,1977 
2020/6/1,9080 ,779 ,6328 ,1973 
2020/7/1,9070 ,771 ,6327 ,1972 
2020/8/1,9065 ,777 ,6320 ,1968 
2020/9/1,9044 ,775 ,6306 ,1963 
2020/10/1,9047 ,774 ,6300 ,1973 
2020/11/1,9044 ,776 ,6291 ,1977 
2020/12/1,9035 ,773 ,6288 ,1974 
2021/1/1,9014 ,771 ,6259 ,1984 
2021/2/1,9012 ,774 ,6249 ,1989 
2021/3/1,8994 ,769 ,6230 ,1995 
2021/4/1,8969 ,762 ,6208 ,1999 
2021/5/1,8929 ,750 ,6187 ,1992 
2021/6/1,8905 ,740 ,6179 ,1986 
2021/7/1,8864 ,727 ,6157 ,1980 
2021/8/1,8860 ,730 ,6152 ,1978 
2021/9/1,8817 ,723 ,6125 ,1969 
2021/10/1,8817 ,723 ,6125 ,1969 
