month,total,young,strong,old
2019/1/1,14645 ,1233 ,11212 ,2200 
2019/2/1,14621 ,1226 ,11179 ,2216 
2019/3/1,14576 ,1205 ,11151 ,2220 
2019/4/1,14570 ,1203 ,11136 ,2231 
2019/5/1,14576 ,1205 ,11142 ,2229 
2019/6/1,14560 ,1192 ,11138 ,2230 
2019/7/1,14585 ,1197 ,11148 ,2240 
2019/8/1,14579 ,1184 ,11156 ,2239 
2019/9/1,14597 ,1194 ,11163 ,2240 
2019/10/1,14582 ,1190 ,11150 ,2242 
2019/11/1,14591 ,1201 ,11132 ,2258 
2019/12/1,14626 ,1207 ,11153 ,2266 
2020/1/1,14615 ,1211 ,11134 ,2270 
2020/2/1,14631 ,1206 ,11142 ,2283 
2020/3/1,14607 ,1209 ,11114 ,2284 
2020/4/1,14615 ,1213 ,11109 ,2293 
2020/5/1,14614 ,1211 ,11104 ,2299 
2020/6/1,14590 ,1201 ,11094 ,2295 
2020/7/1,14601 ,1204 ,11103 ,2294 
2020/8/1,14620 ,1206 ,11117 ,2297 
2020/9/1,14630 ,1204 ,11117 ,2309 
2020/10/1,14629 ,1201 ,11109 ,2319 
2020/11/1,14634 ,1206 ,11099 ,2329 
2020/12/1,14619 ,1201 ,11075 ,2343 
2021/1/1,14611 ,1198 ,11047 ,2366 
2021/2/1,14587 ,1188 ,11032 ,2367 
2021/3/1,14584 ,1179 ,11035 ,2370 
2021/4/1,14574 ,1176 ,11013 ,2385 
2021/5/1,14572 ,1178 ,10993 ,2401 
2021/6/1,14555 ,1175 ,10975 ,2405 
2021/7/1,14570 ,1186 ,10972 ,2412 
2021/8/1,14569 ,1190 ,10960 ,2419 
2021/9/1,14530 ,1176 ,10928 ,2426 
2021/10/1,14530 ,1176 ,10928 ,2426 
