month,total,young,strong,old
2019/1/1,5581 ,422 ,3721 ,1438 
2019/2/1,5567 ,414 ,3713 ,1440 
2019/3/1,5552 ,405 ,3701 ,1446 
2019/4/1,5547 ,404 ,3696 ,1447 
2019/5/1,5534 ,401 ,3682 ,1451 
2019/6/1,5529 ,401 ,3675 ,1453 
2019/7/1,5514 ,401 ,3664 ,1449 
2019/8/1,5510 ,397 ,3660 ,1453 
2019/9/1,5505 ,400 ,3656 ,1449 
2019/10/1,5491 ,401 ,3641 ,1449 
2019/11/1,5477 ,398 ,3630 ,1449 
2019/12/1,5479 ,395 ,3635 ,1449 
2020/1/1,5467 ,388 ,3623 ,1456 
2020/2/1,5464 ,384 ,3624 ,1456 
2020/3/1,5467 ,386 ,3627 ,1454 
2020/4/1,5460 ,387 ,3621 ,1452 
2020/5/1,5452 ,387 ,3612 ,1453 
2020/6/1,5458 ,391 ,3614 ,1453 
2020/7/1,5441 ,388 ,3604 ,1449 
2020/8/1,5435 ,387 ,3600 ,1448 
2020/9/1,5421 ,383 ,3594 ,1444 
2020/10/1,5415 ,379 ,3589 ,1447 
2020/11/1,5406 ,372 ,3581 ,1453 
2020/12/1,5403 ,373 ,3581 ,1449 
2021/1/1,5388 ,364 ,3571 ,1453 
2021/2/1,5379 ,358 ,3565 ,1456 
2021/3/1,5386 ,370 ,3555 ,1461 
2021/4/1,5363 ,362 ,3546 ,1455 
2021/5/1,5348 ,364 ,3529 ,1455 
2021/6/1,5343 ,360 ,3522 ,1461 
2021/7/1,5323 ,352 ,3506 ,1465 
2021/8/1,5320 ,355 ,3500 ,1465 
2021/9/1,5300 ,354 ,3477 ,1469 
2021/10/1,5300 ,354 ,3477 ,1469 
