month,total,young,strong,old
2019/1/1,33078 ,3200 ,23636 ,6242 
2019/2/1,33037 ,3172 ,23610 ,6255 
2019/3/1,33030 ,3171 ,23584 ,6275 
2019/4/1,32993 ,3163 ,23548 ,6282 
2019/5/1,33005 ,3146 ,23560 ,6299 
2019/6/1,32986 ,3140 ,23545 ,6301 
2019/7/1,32923 ,3119 ,23508 ,6296 
2019/8/1,32926 ,3097 ,23527 ,6302 
2019/9/1,32912 ,3092 ,23498 ,6322 
2019/10/1,32852 ,3064 ,23458 ,6330 
2019/11/1,32817 ,3038 ,23430 ,6349 
2019/12/1,32798 ,3016 ,23411 ,6371 
2020/1/1,32838 ,3009 ,23429 ,6400 
2020/2/1,32811 ,3003 ,23393 ,6415 
2020/3/1,32815 ,2994 ,23366 ,6455 
2020/4/1,32837 ,2988 ,23384 ,6465 
2020/5/1,32857 ,2985 ,23409 ,6463 
2020/6/1,32869 ,2974 ,23418 ,6477 
2020/7/1,32935 ,2983 ,23458 ,6494 
2020/8/1,32965 ,2982 ,23476 ,6507 
2020/9/1,33049 ,2979 ,23541 ,6529 
2020/10/1,33046 ,2969 ,23533 ,6544 
2020/11/1,33046 ,2967 ,23525 ,6554 
2020/12/1,33027 ,2963 ,23497 ,6567 
2021/1/1,33008 ,2949 ,23480 ,6579 
2021/2/1,33042 ,2947 ,23501 ,6594 
2021/3/1,32997 ,2939 ,23472 ,6586 
2021/4/1,33007 ,2948 ,23436 ,6623 
2021/5/1,33006 ,2960 ,23400 ,6646 
2021/6/1,33009 ,2967 ,23395 ,6647 
2021/7/1,32991 ,2944 ,23370 ,6677 
2021/8/1,32965 ,2940 ,23302 ,6723 
2021/9/1,32930 ,2929 ,23262 ,6739 
2021/10/1,32930 ,2929 ,23262 ,6739 
