month,total,young,strong,old
2019/1/1,57033 ,9049 ,41698 ,6286 
2019/2/1,57087 ,9079 ,41696 ,6312 
2019/3/1,57135 ,9094 ,41696 ,6345 
2019/4/1,57148 ,9089 ,41694 ,6365 
2019/5/1,57159 ,9088 ,41680 ,6391 
2019/6/1,57150 ,9080 ,41675 ,6395 
2019/7/1,57208 ,9108 ,41690 ,6410 
2019/8/1,57302 ,9111 ,41756 ,6435 
2019/9/1,57297 ,9062 ,41771 ,6464 
2019/10/1,57303 ,9031 ,41785 ,6487 
2019/11/1,57302 ,8997 ,41785 ,6520 
2019/12/1,57292 ,8967 ,41782 ,6543 
2020/1/1,57269 ,8943 ,41778 ,6548 
2020/2/1,57299 ,8948 ,41763 ,6588 
2020/3/1,57373 ,8971 ,41783 ,6619 
2020/4/1,57378 ,8974 ,41767 ,6637 
2020/5/1,57392 ,8934 ,41787 ,6671 
2020/6/1,57431 ,8951 ,41781 ,6699 
2020/7/1,57468 ,8942 ,41806 ,6720 
2020/8/1,57488 ,8925 ,41824 ,6739 
2020/9/1,57523 ,8942 ,41817 ,6764 
2020/10/1,57467 ,8910 ,41763 ,6794 
2020/11/1,57461 ,8895 ,41733 ,6833 
2020/12/1,57511 ,8904 ,41735 ,6872 
2021/1/1,57514 ,8894 ,41710 ,6910 
2021/2/1,57507 ,8865 ,41712 ,6930 
2021/3/1,57564 ,8885 ,41720 ,6959 
2021/4/1,57609 ,8886 ,41723 ,7000 
2021/5/1,57648 ,8885 ,41734 ,7029 
2021/6/1,57668 ,8871 ,41749 ,7048 
2021/7/1,57654 ,8844 ,41740 ,7070 
2021/8/1,57697 ,8850 ,41730 ,7117 
2021/9/1,57852 ,8837 ,41831 ,7184 
2021/10/1,57852 ,8837 ,41831 ,7184 
,,,,
