month,total,young,strong,old
2019/1/1,215897 ,43405 ,147849 ,24643 
2019/2/1,216125 ,43476 ,147900 ,24749 
2019/3/1,216430 ,43543 ,148046 ,24841 
2019/4/1,216512 ,43551 ,148032 ,24929 
2019/5/1,216755 ,43600 ,148159 ,24996 
2019/6/1,216986 ,43640 ,148289 ,25057 
2019/7/1,216966 ,43611 ,148238 ,25117 
2019/8/1,217098 ,43616 ,148256 ,25226 
2019/9/1,217244 ,43572 ,148348 ,25324 
2019/10/1,217446 ,43559 ,148442 ,25445 
2019/11/1,217616 ,43542 ,148489 ,25585 
2019/12/1,217841 ,43617 ,148530 ,25694 
2020/1/1,218054 ,43609 ,148621 ,25824 
2020/2/1,218191 ,43676 ,148559 ,25956 
2020/3/1,218355 ,43676 ,148597 ,26082 
2020/4/1,218413 ,43678 ,148554 ,26181 
2020/5/1,218561 ,43716 ,148589 ,26256 
2020/6/1,218751 ,43767 ,148665 ,26319 
2020/7/1,218898 ,43818 ,148684 ,26396 
2020/8/1,218904 ,43768 ,148644 ,26492 
2020/9/1,219238 ,43839 ,148810 ,26589 
2020/10/1,219402 ,43857 ,148836 ,26709 
2020/11/1,219636 ,43953 ,148862 ,26821 
2020/12/1,220056 ,44067 ,149102 ,26887 
2021/1/1,220340 ,44097 ,149252 ,26991 
2021/2/1,220454 ,44104 ,149303 ,27047 
2021/3/1,220635 ,44133 ,149323 ,27179 
2021/4/1,221025 ,44182 ,149561 ,27282 
2021/5/1,221337 ,44246 ,149758 ,27333 
2021/6/1,221449 ,44225 ,149840 ,27384 
2021/7/1,221541 ,44220 ,149879 ,27442 
2021/8/1,221387 ,44109 ,149729 ,27549 
2021/9/1,221565 ,44069 ,149852 ,27644 
2021/10/1,221610 ,44034 ,149841 ,27735 
