month,total,young,strong,old
2019/1/1,12921 ,1212 ,8897 ,2812 
2019/2/1,12904 ,1205 ,8873 ,2826 
2019/3/1,12922 ,1216 ,8878 ,2828 
2019/4/1,12875 ,1210 ,8838 ,2827 
2019/5/1,12854 ,1212 ,8819 ,2823 
2019/6/1,12855 ,1218 ,8817 ,2820 
2019/7/1,12831 ,1211 ,8799 ,2821 
2019/8/1,12819 ,1204 ,8784 ,2831 
2019/9/1,12811 ,1198 ,8783 ,2830 
2019/10/1,12810 ,1200 ,8779 ,2831 
2019/11/1,12801 ,1196 ,8761 ,2844 
2019/12/1,12789 ,1191 ,8747 ,2851 
2020/1/1,12771 ,1177 ,8734 ,2860 
2020/2/1,12735 ,1171 ,8709 ,2855 
2020/3/1,12699 ,1158 ,8692 ,2849 
2020/4/1,12694 ,1160 ,8683 ,2851 
2020/5/1,12667 ,1133 ,8678 ,2856 
2020/6/1,12650 ,1131 ,8661 ,2858 
2020/7/1,12646 ,1129 ,8661 ,2856 
2020/8/1,12618 ,1119 ,8639 ,2860 
2020/9/1,12577 ,1110 ,8612 ,2855 
2020/10/1,12583 ,1111 ,8610 ,2862 
2020/11/1,12560 ,1105 ,8584 ,2871 
2020/12/1,12547 ,1104 ,8568 ,2875 
2021/1/1,12526 ,1100 ,8543 ,2883 
2021/2/1,12499 ,1099 ,8521 ,2879 
2021/3/1,12494 ,1094 ,8514 ,2886 
2021/4/1,12474 ,1094 ,8489 ,2891 
2021/5/1,12458 ,1099 ,8476 ,2883 
2021/6/1,12445 ,1102 ,8455 ,2888 
2021/7/1,12408 ,1095 ,8429 ,2884 
2021/8/1,12371 ,1077 ,8408 ,2886 
2021/9/1,12356 ,1084 ,8369 ,2903 
2021/10/1,12356 ,1084 ,8369 ,2903 
