month,total,young,strong,old
2019/1/1,77669 ,11108 ,56970 ,9591 
2019/2/1,77671 ,11093 ,56943 ,9635 
2019/3/1,77626 ,11069 ,56874 ,9683 
2019/4/1,77647 ,11056 ,56879 ,9712 
2019/5/1,77642 ,11078 ,56822 ,9742 
2019/6/1,77677 ,11061 ,56835 ,9781 
2019/7/1,77722 ,11058 ,56865 ,9799 
2019/8/1,77771 ,11058 ,56894 ,9819 
2019/9/1,77785 ,11038 ,56900 ,9847 
2019/10/1,77877 ,11029 ,56971 ,9877 
2019/11/1,77890 ,10989 ,56981 ,9920 
2019/12/1,77908 ,10968 ,56991 ,9949 
2020/1/1,77914 ,10921 ,57008 ,9985 
2020/2/1,77938 ,10911 ,56982 ,10045 
2020/3/1,77980 ,10920 ,56963 ,10097 
2020/4/1,78069 ,10896 ,57047 ,10126 
2020/5/1,78207 ,10925 ,57129 ,10153 
2020/6/1,78270 ,10924 ,57170 ,10176 
2020/7/1,78393 ,10936 ,57240 ,10217 
2020/8/1,78612 ,10976 ,57372 ,10264 
2020/9/1,78723 ,10943 ,57474 ,10306 
2020/10/1,78765 ,10917 ,57498 ,10350 
2020/11/1,78841 ,10906 ,57552 ,10383 
2020/12/1,78971 ,10941 ,57612 ,10418 
2021/1/1,79044 ,10920 ,57669 ,10455 
2021/2/1,79076 ,10922 ,57693 ,10461 
2021/3/1,79150 ,10930 ,57711 ,10509 
2021/4/1,79187 ,10933 ,57703 ,10551 
2021/5/1,79276 ,10942 ,57744 ,10590 
2021/6/1,79356 ,10955 ,57795 ,10606 
2021/7/1,79420 ,10954 ,57834 ,10632 
2021/8/1,79449 ,10898 ,57871 ,10680 
2021/9/1,79467 ,10857 ,57872 ,10738 
2021/10/1,79467 ,10857 ,57872 ,10738 
