month,total,young,strong,old
2019/1/1,187867 ,42626 ,130643 ,14598 
2019/2/1,188288 ,42671 ,130952 ,14665 
2019/3/1,188818 ,42770 ,131314 ,14734 
2019/4/1,189466 ,42906 ,131744 ,14816 
2019/5/1,190366 ,43180 ,132280 ,14906 
2019/6/1,190945 ,43321 ,132642 ,14982 
2019/7/1,191594 ,43495 ,133080 ,15019 
2019/8/1,192375 ,43695 ,133582 ,15098 
2019/9/1,193146 ,43837 ,134142 ,15167 
2019/10/1,193630 ,43912 ,134465 ,15253 
2019/11/1,193980 ,43967 ,134688 ,15325 
2019/12/1,194516 ,44145 ,134980 ,15391 
2020/1/1,194941 ,44184 ,135257 ,15500 
2020/2/1,195509 ,44288 ,135609 ,15612 
2020/3/1,195954 ,44366 ,135900 ,15688 
2020/4/1,196442 ,44487 ,136189 ,15766 
2020/5/1,197027 ,44601 ,136580 ,15846 
2020/6/1,197534 ,44744 ,136881 ,15909 
2020/7/1,198122 ,44868 ,137301 ,15953 
2020/8/1,198596 ,44925 ,137635 ,16036 
2020/9/1,199228 ,45022 ,138088 ,16118 
2020/10/1,199655 ,45114 ,138358 ,16183 
2020/11/1,200137 ,45189 ,138689 ,16259 
2020/12/1,200782 ,45333 ,139092 ,16357 
2021/1/1,201134 ,45346 ,139347 ,16441 
2021/2/1,201542 ,45362 ,139668 ,16512 
2021/3/1,202100 ,45441 ,140034 ,16625 
2021/4/1,202783 ,45633 ,140437 ,16713 
2021/5/1,203241 ,45725 ,140734 ,16782 
2021/6/1,203603 ,45759 ,141007 ,16837 
2021/7/1,203904 ,45750 ,141267 ,16887 
2021/8/1,204343 ,45791 ,141553 ,16999 
2021/9/1,205476 ,45946 ,142384 ,17146 
2021/10/1,205476 ,45946 ,142384 ,17146 
