month,total,young,strong,old
2019/1/1,96379 ,13757 ,69654 ,12968 
2019/2/1,96404 ,13753 ,69635 ,13016 
2019/3/1,96374 ,13726 ,69589 ,13059 
2019/4/1,96395 ,13719 ,69618 ,13058 
2019/5/1,96446 ,13740 ,69615 ,13091 
2019/6/1,96369 ,13700 ,69522 ,13147 
2019/7/1,96794 ,13786 ,69839 ,13169 
2019/8/1,97036 ,13784 ,70034 ,13218 
2019/9/1,97157 ,13791 ,70113 ,13253 
2019/10/1,97131 ,13741 ,70097 ,13293 
2019/11/1,97104 ,13723 ,70017 ,13364 
2019/12/1,97127 ,13723 ,69997 ,13407 
2020/1/1,97140 ,13716 ,69968 ,13456 
2020/2/1,97203 ,13735 ,69949 ,13519 
2020/3/1,97218 ,13743 ,69903 ,13572 
2020/4/1,97220 ,13757 ,69864 ,13599 
2020/5/1,97196 ,13731 ,69818 ,13647 
2020/6/1,97193 ,13716 ,69793 ,13684 
2020/7/1,97222 ,13721 ,69805 ,13696 
2020/8/1,97288 ,13691 ,69846 ,13751 
2020/9/1,97199 ,13597 ,69807 ,13795 
2020/10/1,97167 ,13543 ,69756 ,13868 
2020/11/1,97141 ,13500 ,69737 ,13904 
2020/12/1,97100 ,13467 ,69657 ,13976 
2021/1/1,97013 ,13431 ,69560 ,14022 
2021/2/1,96992 ,13422 ,69488 ,14082 
2021/3/1,96898 ,13389 ,69376 ,14133 
2021/4/1,96911 ,13384 ,69354 ,14173 
2021/5/1,96898 ,13371 ,69307 ,14220 
2021/6/1,96894 ,13338 ,69305 ,14251 
2021/7/1,96850 ,13296 ,69278 ,14276 
2021/8/1,96871 ,13259 ,69307 ,14305 
2021/9/1,96705 ,13120 ,69231 ,14354 
2021/10/1,96705 ,13120 ,69231 ,14354 
