month,total,young,strong,old
2019/1/1,19995 ,1989 ,14546 ,3460 
2019/2/1,19992 ,1979 ,14551 ,3462 
2019/3/1,19976 ,1971 ,14533 ,3472 
2019/4/1,19975 ,1967 ,14532 ,3476 
2019/5/1,19988 ,1966 ,14526 ,3496 
2019/6/1,19947 ,1948 ,14510 ,3489 
2019/7/1,19948 ,1934 ,14520 ,3494 
2019/8/1,19947 ,1936 ,14515 ,3496 
2019/9/1,19933 ,1907 ,14519 ,3507 
2019/10/1,19926 ,1905 ,14497 ,3524 
2019/11/1,19935 ,1894 ,14495 ,3546 
2019/12/1,19934 ,1890 ,14492 ,3552 
2020/1/1,19926 ,1888 ,14481 ,3557 
2020/2/1,19910 ,1883 ,14456 ,3571 
2020/3/1,19926 ,1865 ,14481 ,3580 
2020/4/1,19936 ,1865 ,14489 ,3582 
2020/5/1,19917 ,1864 ,14475 ,3578 
2020/6/1,19929 ,1864 ,14488 ,3577 
2020/7/1,19930 ,1850 ,14491 ,3589 
2020/8/1,19925 ,1835 ,14500 ,3590 
2020/9/1,19903 ,1821 ,14502 ,3580 
2020/10/1,19894 ,1819 ,14487 ,3588 
2020/11/1,19885 ,1809 ,14479 ,3597 
2020/12/1,19872 ,1795 ,14465 ,3612 
2021/1/1,19860 ,1779 ,14442 ,3639 
2021/2/1,19861 ,1774 ,14438 ,3649 
2021/3/1,19880 ,1788 ,14436 ,3656 
2021/4/1,19873 ,1792 ,14420 ,3661 
2021/5/1,19871 ,1781 ,14419 ,3671 
2021/6/1,19872 ,1791 ,14413 ,3668 
2021/7/1,19888 ,1795 ,14414 ,3679 
2021/8/1,19912 ,1798 ,14435 ,3679 
2021/9/1,19944 ,1777 ,14462 ,3705 
2021/10/1,19944 ,1777 ,14462 ,3705 
