month,total,young,strong,old
2019/1/1,28441 ,2827 ,19747 ,5867 
2019/2/1,28381 ,2809 ,19698 ,5874 
2019/3/1,28332 ,2797 ,19654 ,5881 
2019/4/1,28272 ,2777 ,19619 ,5876 
2019/5/1,28232 ,2761 ,19583 ,5888 
2019/6/1,28227 ,2766 ,19575 ,5886 
2019/7/1,28161 ,2737 ,19542 ,5882 
2019/8/1,28136 ,2731 ,19524 ,5881 
2019/9/1,28103 ,2723 ,19494 ,5886 
2019/10/1,28095 ,2721 ,19481 ,5893 
2019/11/1,28066 ,2707 ,19460 ,5899 
2019/12/1,28055 ,2717 ,19439 ,5899 
2020/1/1,28034 ,2722 ,19425 ,5887 
2020/2/1,28015 ,2726 ,19380 ,5909 
2020/3/1,27979 ,2723 ,19334 ,5922 
2020/4/1,27993 ,2715 ,19346 ,5932 
2020/5/1,27930 ,2701 ,19288 ,5941 
2020/6/1,27918 ,2709 ,19266 ,5943 
2020/7/1,27900 ,2695 ,19253 ,5952 
2020/8/1,27863 ,2688 ,19217 ,5958 
2020/9/1,27839 ,2679 ,19188 ,5972 
2020/10/1,27810 ,2677 ,19142 ,5991 
2020/11/1,27794 ,2677 ,19119 ,5998 
2020/12/1,27775 ,2672 ,19101 ,6002 
2021/1/1,27744 ,2659 ,19075 ,6010 
2021/2/1,27708 ,2647 ,19045 ,6016 
2021/3/1,27667 ,2640 ,19006 ,6021 
2021/4/1,27647 ,2624 ,18985 ,6038 
2021/5/1,27605 ,2618 ,18954 ,6033 
2021/6/1,27580 ,2618 ,18927 ,6035 
2021/7/1,27521 ,2608 ,18890 ,6023 
2021/8/1,27510 ,2609 ,18865 ,6036 
2021/9/1,27421 ,2602 ,18765 ,6054 
2021/10/1,27421 ,2602 ,18765 ,6054 
