month,total,young,strong,old
2019/1/1,78379 ,10606 ,58863 ,8910 
2019/2/1,78336 ,10565 ,58795 ,8976 
2019/3/1,78309 ,10538 ,58727 ,9044 
2019/4/1,78344 ,10495 ,58767 ,9082 
2019/5/1,78311 ,10458 ,58746 ,9107 
2019/6/1,78355 ,10421 ,58783 ,9151 
2019/7/1,78493 ,10423 ,58868 ,9202 
2019/8/1,78560 ,10416 ,58905 ,9239 
2019/9/1,78545 ,10363 ,58865 ,9317 
2019/10/1,78581 ,10330 ,58867 ,9384 
2019/11/1,78585 ,10294 ,58829 ,9462 
2019/12/1,78611 ,10265 ,58847 ,9499 
2020/1/1,78659 ,10247 ,58836 ,9576 
2020/2/1,78672 ,10235 ,58813 ,9624 
2020/3/1,78639 ,10215 ,58743 ,9681 
2020/4/1,78699 ,10198 ,58786 ,9715 
2020/5/1,78705 ,10156 ,58796 ,9753 
2020/6/1,78658 ,10076 ,58770 ,9812 
2020/7/1,78675 ,10048 ,58791 ,9836 
2020/8/1,78798 ,10047 ,58877 ,9874 
2020/9/1,78778 ,10001 ,58849 ,9928 
2020/10/1,78794 ,9954 ,58838 ,10002 
2020/11/1,78753 ,9909 ,58802 ,10042 
2020/12/1,78744 ,9893 ,58759 ,10092 
2021/1/1,78775 ,9856 ,58767 ,10152 
2021/2/1,78747 ,9823 ,58719 ,10205 
2021/3/1,78680 ,9783 ,58630 ,10267 
2021/4/1,78702 ,9758 ,58621 ,10323 
2021/5/1,78679 ,9717 ,58601 ,10361 
2021/6/1,78738 ,9734 ,58589 ,10415 
2021/7/1,78776 ,9721 ,58607 ,10448 
2021/8/1,78775 ,9683 ,58586 ,10506 
2021/9/1,78713 ,9668 ,58499 ,10546 
2021/10/1,78744 ,9633 ,58525 ,10586 
